feature,n,mean,std,median,q25,q75,iqr,min,max,skew,kurtosis,is_constant,outlier_pct
Index_W,333148.0,0.4742663385164398,0.27117469209702566,0.48450420796871185,0.22233427315950394,0.691669300198555,0.46933502703905106,0.020400000736117363,1.0,0.057774898867780006,-1.1667532826083231,0,0.0
Index_R,333148.0,0.4410344356367796,0.23109103597945913,0.4056205600500107,0.2565734386444092,0.6014397442340851,0.3448663055896759,0.020400000736117363,1.0,0.4709310196004021,-0.6502587780431583,0,0.0
Index_N,333148.0,0.3854556891928804,0.2326979567778286,0.3615249693393707,0.19871055707335472,0.5485062152147293,0.3497956581413746,0.020400000736117363,1.0,0.4022039134944417,-0.6692801813715001,0,0.0
Index_1,333148.0,0.5034963800156835,0.2447083322851747,0.511612057685852,0.308534637093544,0.7015032768249512,0.39296863973140717,0.026671774685382843,1.0,-0.07539641172085243,-0.9627270919981319,0,0.0
Index_2,333148.0,0.4362497105050848,0.1999427441468202,0.4146737903356552,0.2780549004673958,0.5773110836744308,0.29925618320703506,0.021904991939663887,1.0,0.4026701969712153,-0.5269597139034032,0,0.0
Index_3,333148.0,0.4884298749592548,0.19572104354744374,0.48791757225990295,0.3455483317375183,0.6281611323356628,0.28261280059814453,0.020400000736117363,1.0,0.06305407985954266,-0.5818846050966457,0,0.0
Index_4,333148.0,0.43069306044222105,0.1991841904306002,0.4102196991443634,0.2752416729927063,0.5686058402061462,0.29336416721343994,0.021866653114557266,1.0,0.4185944638308492,-0.44426957725107963,0,0.0
Delta,333148.0,0.20563463896788242,0.18711576298879773,0.12896450608968735,0.06956555880606174,0.27300701290369034,0.2034414540976286,0.020400000736117363,1.0,1.596770997801764,2.0004068263213455,0,6.634888998283045
Theta,333148.0,0.3249754268844534,0.2017959310484997,0.2926765978336334,0.15562836453318596,0.4637025073170662,0.30807414278388023,0.020400000736117363,1.0,0.6078826539830342,-0.4161173931625002,0,0.16329078967906155
Aperiodic,333148.0,0.5739178634326445,0.26691702608255685,0.5959433615207672,0.38144445419311523,0.7858775854110718,0.40443313121795654,0.05000000074505806,1.0,-0.2709600043303474,-0.8419697427011714,0,0.0
DFA,333148.0,0.3797056017432266,0.27024683146280365,0.3258274793624878,0.15369736403226852,0.5529392212629318,0.3992418572306633,0.05000000074505806,1.0,0.6928029322399547,-0.4497179605004611,0,0.0
MSE,333148.0,0.47729744745500796,0.2802404467621152,0.4598631113767624,0.24389159679412842,0.6951537132263184,0.45126211643218994,0.05000000074505806,1.0,0.19806243534568474,-1.0162825468969567,0,0.0
EOG,333148.0,0.2061629014078678,0.2194854988072312,0.11437306925654411,0.05000000074505806,0.2557603418827057,0.20576034113764763,0.05000000074505806,1.0,1.8966968390101744,3.0873100264431512,0,8.998102945237552
Index_R_noEOG,333148.0,0.5128209739371473,0.24331001275626024,0.48967234790325165,0.31787624955177307,0.7164903879165649,0.39861413836479187,0.020400000736117363,1.0,0.14506293117629668,-1.0196105490235625,0,0.0
Index_N_noEOG,333148.0,0.506494505265259,0.23429887117709403,0.5116492807865143,0.31754566729068756,0.6950396746397018,0.3774940073490143,0.020400000736117363,1.0,-0.04768800946237273,-0.9695872721242109,0,0.0
