Index_W,Index_R,Index_N,Index_1,Index_2,Index_3,Index_4,Delta,Theta,Aperiodic,DFA,MSE,EOG,Index_R_noEOG,Index_N_noEOG
1.000000000000000000e+00,-5.228795931297716137e-01,1.058676683498257914e-01,8.051909491207998038e-01,2.534841231333480049e-01,3.252729225269897564e-03,3.425346514000027209e-01,9.687961802621150587e-02,-2.750740920788546928e-01,-4.657874933622702107e-01,2.289710967112366102e-01,2.353103356166350579e-01,2.884352498813471111e-01,-6.974100538224897727e-01,-3.519396807948791395e-01
-5.228795931297716137e-01,1.000000000000000000e+00,2.205893431894327128e-01,-2.943420640118948328e-01,-3.100023913453275326e-01,1.770110311125629443e-01,-1.827429260212161399e-01,-3.556714607935820283e-01,-2.213098638172283916e-01,-1.890696675315944320e-01,2.331300998979795314e-01,2.396988374698652002e-01,8.804211577388076915e-02,8.023506359664218657e-01,-3.667553935108573415e-01
1.058676683498257914e-01,2.205893431894327128e-01,1.000000000000000000e+00,-7.283826864901100928e-02,-6.766969248147089444e-02,-3.264920463918891125e-01,2.662393006606723067e-01,1.428670079999683484e-01,-1.100916466736799326e-01,-3.291431169884714847e-02,-1.270167491006240490e-01,-9.460550363814072827e-02,3.827816565258721493e-01,-1.713911354470700754e-01,-2.116364201285212895e-02
8.051909491207996927e-01,-2.943420640118947773e-01,-7.283826864901102316e-02,1.000000000000000000e+00,-6.490584034164087468e-02,4.086058482689474691e-01,-7.600085268201249578e-02,-3.127219629613848806e-01,-2.878675344414526327e-01,-6.125724185049605808e-01,4.987850583264416549e-01,5.103092277105649721e-01,9.248960204904370375e-02,-2.788673998126027231e-01,-6.099293946141394196e-01
2.534841231333479494e-01,-3.100023913453275326e-01,-6.766969248147090832e-02,-6.490584034164087468e-02,1.000000000000000000e+00,-3.727621822090412818e-01,7.107842356273151863e-01,6.654960166762392548e-01,-8.543236965148533202e-03,2.925362828600191686e-02,-6.910833756942855177e-02,-2.252768777818660029e-01,4.429364473598617069e-01,-5.020048078718449824e-01,3.513158699491082393e-01
3.252729225269897564e-03,1.770110311125629443e-01,-3.264920463918891680e-01,4.086058482689474691e-01,-3.727621822090412262e-01,1.000000000000000000e+00,-7.148356548059136006e-01,-3.791013285966350344e-01,2.995555531240988167e-01,-3.504552077467921190e-01,4.029599869492683228e-01,3.913508829208487971e-01,-1.686027636413629099e-02,4.390514966197227031e-01,-4.015343913692487887e-01
3.425346514000026654e-01,-1.827429260212161399e-01,2.662393006606723067e-01,-7.600085268201249578e-02,7.107842356273151863e-01,-7.148356548059136006e-01,1.000000000000000000e+00,6.157657272735654885e-01,-3.365006456319910577e-01,-2.235536984666140758e-02,-1.442555800025202006e-01,-2.510927526673981114e-01,4.457859412225815277e-01,-5.624482641210631906e-01,6.271630932068852915e-02
9.687961802621150587e-02,-3.556714607935820838e-01,1.428670079999683484e-01,-3.127219629613848806e-01,6.654960166762392548e-01,-3.791013285966350899e-01,6.157657272735654885e-01,1.000000000000000000e+00,3.606596873205946130e-01,2.560041943265803366e-01,-3.562000662656927830e-01,-5.041156869553917730e-01,5.447572666979926259e-01,-5.713038228489947246e-01,4.386544903206179291e-01
-2.750740920788546928e-01,-2.213098638172283916e-01,-1.100916466736799326e-01,-2.878675344414526327e-01,-8.543236965148531467e-03,2.995555531240988723e-01,-3.365006456319910022e-01,3.606596873205946130e-01,1.000000000000000000e+00,3.532872095051197148e-01,-2.911159013982685950e-01,-3.273801446685070116e-01,5.565506672626732709e-02,-6.277663867120594765e-02,4.808501247903994580e-01
-4.657874933622702107e-01,-1.890696675315944597e-01,-3.291431169884714847e-02,-6.125724185049606918e-01,2.925362828600192033e-02,-3.504552077467921190e-01,-2.235536984666140412e-02,2.560041943265803366e-01,3.532872095051197148e-01,1.000000000000000000e+00,-7.016786030986953415e-01,-6.383877151844514763e-01,-1.888732758155325930e-01,-7.328319671857996820e-02,6.897623473824807672e-01
2.289710967112366102e-01,2.331300998979795314e-01,-1.270167491006240490e-01,4.987850583264416549e-01,-6.910833756942855177e-02,4.029599869492683228e-01,-1.442555800025201729e-01,-3.562000662656927275e-01,-2.911159013982685950e-01,-7.016786030986953415e-01,1.000000000000000000e+00,8.383653251720785127e-01,1.607912281478362376e-02,2.449807641519869128e-01,-5.524140646352170281e-01
2.353103356166350579e-01,2.396988374698651725e-01,-9.460550363814072827e-02,5.103092277105648611e-01,-2.252768777818659751e-01,3.913508829208487416e-01,-2.510927526673981114e-01,-5.041156869553917730e-01,-3.273801446685070671e-01,-6.383877151844514763e-01,8.383653251720785127e-01,1.000000000000000000e+00,-1.233909879291453932e-01,2.759951082930056088e-01,-5.591586453588666128e-01
2.884352498813470556e-01,8.804211577388076915e-02,3.827816565258721493e-01,9.248960204904370375e-02,4.429364473598617069e-01,-1.686027636413629099e-02,4.457859412225815277e-01,5.447572666979927369e-01,5.565506672626732709e-02,-1.888732758155325930e-01,1.607912281478362376e-02,-1.233909879291453793e-01,1.000000000000000000e+00,-3.144155768026263842e-01,-1.045319107342460863e-01
-6.974100538224897727e-01,8.023506359664218657e-01,-1.713911354470700477e-01,-2.788673998126027787e-01,-5.020048078718449824e-01,4.390514966197227587e-01,-5.624482641210630796e-01,-5.713038228489947246e-01,-6.277663867120594765e-02,-7.328319671857996820e-02,2.449807641519869128e-01,2.759951082930056088e-01,-3.144155768026263842e-01,1.000000000000000000e+00,-2.699038202604598924e-01
-3.519396807948791395e-01,-3.667553935108573415e-01,-2.116364201285212548e-02,-6.099293946141395306e-01,3.513158699491082393e-01,-4.015343913692487887e-01,6.271630932068852915e-02,4.386544903206178736e-01,4.808501247903994580e-01,6.897623473824806561e-01,-5.524140646352169171e-01,-5.591586453588666128e-01,-1.045319107342460863e-01,-2.699038202604599479e-01,1.000000000000000000e+00
