feature,mutual_info,fisher_score,eta_squared,is_constant,anova_f,anova_p,kruskal_h,kruskal_p
Index_W,0.26568756578455766,0.626186960351528,0.3850683273678012,0,41722.49972646697,0.0,127296.71360171276,0.0
Index_R,0.13485432479982062,0.27505444131574436,0.21572327699307395,0,18326.81803139323,0.0,61553.41216253637,0.0
Index_N,0.1221323471517235,0.214895088580306,0.17688605827657125,0,14318.351868269949,0.0,57619.6474358961,0.0
Index_1,0.22172497283541404,0.5148900292062234,0.3398893889166049,0,34306.80522363256,0.0,111979.96395757649,0.0
Index_2,0.1893176275904409,0.36939018419079517,0.2697510909954195,0,24612.270377478173,0.0,89181.15346867083,0.0
Index_3,0.11000534393590877,0.15646990401436242,0.13530135605908167,0,10425.496715203439,0.0,43387.01545598622,0.0
Index_4,0.1522730365404117,0.28960662940708076,0.22457241640143946,0,19296.322577954586,0.0,71964.25266980946,0.0
Delta,0.2385157978650252,0.5821823525788729,0.3679663319698094,0,38790.66763868371,0.0,108660.00226301265,0.0
Theta,0.11978679450969532,0.21594694207675472,0.17759847921154545,0,14388.473529273002,0.0,62787.64674930416,0.0
Aperiodic,0.28461131872265133,0.7047144969391078,0.41339548447428964,0,46954.769301532135,0.0,138834.92482978487,0.0
DFA,0.1329679333822602,0.21173972205781724,0.17474261633820037,0,14108.10877785436,0.0,64999.87440380817,0.0
MSE,0.15717550675291303,0.2601980953199671,0.20647654433136864,0,17336.855877481525,0.0,69670.89755850805,0.0
EOG,0.23384935723415534,0.47615395204311284,0.3225670435860496,0,31725.834716750658,0.0,105524.83124384195,0.0
Index_R_noEOG,0.15123788561089757,0.3251634046775422,0.2453793587218874,0,21665.500743492077,0.0,80297.32378390824,0.0
Index_N_noEOG,0.3079085558357568,0.7340311069440097,0.423313572154441,0,48908.21883272824,0.0,141832.33449423427,0.0
