rank,feature,selection_score,mutual_info,fisher_score,eta_squared,is_constant,anova_f,anova_p,kruskal_h,kruskal_p
1,Index_N_noEOG,0.8999999999999999,0.3079085558357568,0.7340311069440097,0.423313572154441,0,48908.21883272824,0.0,141832.33449423427,0.0
2,Aperiodic,0.8349609945124351,0.28461131872265133,0.7047144969391078,0.41339548447428964,0,46954.769301532135,0.0,138834.92482978487,0.0
3,Index_W,0.7361158504132095,0.26568756578455766,0.626186960351528,0.3850683273678012,0,41722.49972646697,0.0,127296.71360171276,0.0
4,Delta,0.6503594905831466,0.2385157978650252,0.5821823525788729,0.3679663319698094,0,38790.66763868371,0.0,108660.00226301265,0.0
5,Index_1,0.5613395639457606,0.22172497283541404,0.5148900292062234,0.3398893889166049,0,34306.80522363256,0.0,111979.96395757649,0.0
6,EOG,0.547625412821863,0.23384935723415534,0.47615395204311284,0.3225670435860496,0,31725.834716750658,0.0,105524.83124384195,0.0
7,Index_2,0.3675681537285777,0.1893176275904409,0.36939018419079517,0.2697510909954195,0,24612.270377478173,0.0,89181.15346867083,0.0
8,Index_R_noEOG,0.25609492199442124,0.15123788561089757,0.3251634046775422,0.2453793587218874,0,21665.500743492077,0.0,80297.32378390824,0.0
9,Index_4,0.2213957186055847,0.1522730365404117,0.28960662940708076,0.22457241640143946,0,19296.322577954586,0.0,71964.25266980946,0.0
10,MSE,0.1990828418657858,0.15717550675291303,0.2601980953199671,0.20647654433136864,0,17336.855877481525,0.0,69670.89755850805,0.0
11,Index_R,0.17535001185264748,0.13485432479982062,0.27505444131574436,0.21572327699307395,0,18326.81803139323,0.0,61553.41216253637,0.0
12,DFA,0.10355459157555205,0.1329679333822602,0.21173972205781724,0.17474261633820037,0,14108.10877785436,0.0,64999.87440380817,0.0
13,Index_N,0.08789093552347885,0.1221323471517235,0.214895088580306,0.17688605827657125,0,14318.351868269949,0.0,57619.6474358961,0.0
14,Theta,0.08490748306607475,0.11978679450969532,0.21594694207675472,0.17759847921154545,0,14388.473529273002,0.0,62787.64674930416,0.0
15,Index_3,0.0,0.11000534393590877,0.15646990401436242,0.13530135605908167,0,10425.496715203439,0.0,43387.01545598622,0.0
