rank,feature,most_specific_stage,most_specific_stage_name,stage_specificity_score,max_one_vs_rest_effect,effect_margin,stage_mean_concentration
1,Index_N_noEOG,3,N3,0.7783982141059762,2.055921681674427,0.9820585399335875,0.06941533534809463
2,Index_3,3,N3,0.7766861277508492,1.5202290533775047,1.108989208182107,0.2649601607630453
3,Delta,3,N3,0.737669113609862,1.7840061641889002,0.8113568467474367,0.19658203764270232
4,Index_1,6,Unknown/Uncertain,0.5808384462458752,2.0041281298161056,0.1790427659418532,0.12279399420271386
5,MSE,3,N3,0.5381746674571491,1.667980193688544,0.6241787787678865,0.09312170965818944
6,Aperiodic,3,N3,0.5326652376020999,1.7701554663511951,0.4938545120399138,0.08121184632533796
7,Index_R,4,REM,0.50011401836179,1.3936885717816472,0.6365243375709042,0.16974988983825035
8,DFA,3,N3,0.35046061987376675,1.3453262456053445,0.462068762103128,0.08528159086393516
9,Index_W,0,Awake,0.33459647827151445,1.617360014706223,0.10794218688908375,0.05443789724345316
10,EOG,0,Awake,0.23091083080164404,1.1748148266411838,0.25945337673088786,0.09446719722086039
11,Index_4,3,N3,0.22252262123111488,1.0803500435531843,0.3183812662102925,0.10957933674491416
12,Index_R_noEOG,4,REM,0.2212567555784603,1.0976953197769401,0.1369662040032239,0.154540758993157
13,Index_N,2,N2,0.16970634600494067,0.8565053111158363,0.11995891827398297,0.2111662269780844
14,Index_2,4,REM,0.11769377912144882,1.1153260712960174,0.04623355043783839,0.06475277279509506
15,Theta,3,N3,0.10611266081760946,0.9988326869462233,0.12646604702623399,0.07983982856272986
