feature,stage,stage_name,n,mean,std,median,q25,q75,iqr,min,max,skew,kurtosis,is_constant,outlier_pct
Index_W,0,Awake,85553.0,0.732605766815774,0.1933491565083699,0.7798434495925903,0.6318864822387695,0.8770152926445007,0.2451288104057312,0.020400000736117363,1.0,-1.0696871848361689,0.8526390648048219,0,2.986452842097881
Index_W,1,N1,36976.0,0.5731996748259324,0.21701761173047773,0.6022329032421112,0.4264233037829399,0.7320203334093094,0.3055970296263695,0.05000000074505806,1.0,-0.3836465272569977,-0.5307231313849088,0,0.0
Index_W,2,N2,131253.0,0.37112199370498217,0.22015445914029252,0.3787246346473694,0.15892112255096436,0.5555424094200134,0.3966212868690491,0.05000000074505806,1.0,0.14772578255812,-1.1375066749560323,0,0.0
Index_W,3,N3,28989.0,0.28048487215002593,0.19587798502648168,0.24262332916259766,0.08594617247581482,0.4557710289955139,0.3698248565196991,0.05000000074505806,0.9414129257202148,0.38529845194878387,-1.1999685519600756,0,0.0
Index_W,4,REM,50064.0,0.3443399326754219,0.22991635951327985,0.2755940705537796,0.16361906006932259,0.4871829077601433,0.3235638476908207,0.05000000074505806,0.9990747570991516,0.8507904612304608,-0.2735105592532343,0,0.12184403962927452
Index_W,6,Unknown/Uncertain,313.0,0.1557329435841725,0.12546253349291003,0.12283357977867126,0.06876475363969803,0.18785670399665833,0.1190919503569603,0.05000000074505806,0.7079871296882629,2.4632214883627808,6.943594009182247,0,6.070287539936102
Index_R,0,Awake,85553.0,0.4171372066455032,0.19175563669913973,0.38383230566978455,0.28181198239326477,0.5287739634513855,0.24696198105812073,0.020400000736117363,1.0,0.7070030348089799,0.17466711499921983,0,2.0057741984500836
Index_R,1,N1,36976.0,0.4031924727079243,0.1982964619825674,0.36503733694553375,0.2549988254904747,0.5244306176900864,0.26943179219961166,0.05000000074505806,1.0,0.6706720401656053,-0.16755416154731906,0,0.6328429251406318
Index_R,2,N2,131253.0,0.40205900196556266,0.21849973968089295,0.37188443541526794,0.21711523830890656,0.5582259297370911,0.3411106914281845,0.05000000074505806,1.0,0.4847579954961902,-0.6368344049813346,0,0.0
Index_R,3,N3,28989.0,0.3096810078144355,0.17405392367611958,0.29331979155540466,0.16305336356163025,0.41991057991981506,0.2568572163581848,0.05000000074505806,0.987561047077179,0.61546802689093,-0.10267562665812946,0,0.6416226844665218
Index_R,4,REM,50064.0,0.6867860737717307,0.2086868128832303,0.7221717536449432,0.5386908948421478,0.8590805679559708,0.32038967311382294,0.057821307331323624,1.0,-0.5734132516478712,-0.49720060998607796,0,0.0019974432726110576
Index_R,6,Unknown/Uncertain,313.0,0.6450636891511302,0.3035923636218292,0.7831464409828186,0.3384541869163513,0.9165910482406616,0.5781368613243103,0.09144612401723862,0.965347409248352,-0.6095333671259846,-1.2307744429470906,0,0.0
Index_N,0,Awake,85553.0,0.46566179512620787,0.22448859610269278,0.46032604575157166,0.29133278131484985,0.6344934105873108,0.34316062927246094,0.020400000736117363,1.0,0.10758096636357196,-0.8298904810952861,0,0.0
Index_N,1,N1,36976.0,0.3866719732543414,0.20804161831447313,0.3743410110473633,0.23101525381207466,0.5292135775089264,0.29819832369685173,0.05000000074505806,1.0,0.31560415757670984,-0.515673697024635,0,0.11358719169190827
Index_N,2,N2,131253.0,0.2758740009544936,0.19029381525354463,0.2590447962284088,0.09769795089960098,0.4002871513366699,0.30258920043706894,0.05000000074505806,0.9994996190071106,0.7272324262675212,-0.020181491963725318,0,0.47922714147486156
Index_N,3,N3,28989.0,0.3910807736792145,0.2033931445572347,0.3730870485305786,0.23105750977993011,0.5389693379402161,0.30791182816028595,0.05000000074505806,0.9722357988357544,0.3244717208368333,-0.6567322852729456,0,0.0
Index_N,4,REM,50064.0,0.5311032193160764,0.24399046956527795,0.5364412069320679,0.34813784062862396,0.7272481620311737,0.37911032140254974,0.05000000074505806,1.0,-0.1219545524259589,-0.8902347597889242,0,0.0
Index_N,6,Unknown/Uncertain,313.0,0.4535563400568673,0.11789536444606895,0.4070948660373688,0.35607022047042847,0.5305011868476868,0.1744309663772583,0.329961359500885,0.8911970257759094,1.2313332124948762,0.9136438523335877,0,0.9584664536741214
Index_1,0,Awake,85553.0,0.6777324300489829,0.19714558140290886,0.7137763500213623,0.5624209046363831,0.8243460655212402,0.2619251608848572,0.026671774685382843,1.0,-0.7472875740632872,0.10916670567536668,0,1.5510852921580773
Index_1,1,N1,36976.0,0.6372556599182061,0.1969937858592241,0.6662769019603729,0.5139768123626709,0.7875110507011414,0.27353423833847046,0.05000000074505806,1.0,-0.5930941879628102,-0.1145739335242908,0,0.8167459974037214
Index_1,2,N2,131253.0,0.4420942568442568,0.2068504640927394,0.4490114748477936,0.2853090465068817,0.5895780920982361,0.30426904559135437,0.05000000074505806,1.0,0.06352266046838735,-0.6388840558941573,0,0.0
Index_1,3,N3,28989.0,0.19001100263314324,0.13072109923364097,0.15253885090351105,0.0808173194527626,0.27014610171318054,0.18932878226041794,0.05000000074505806,0.9999218583106995,1.1643589256254532,1.5121880545572326,0,1.2452999413570665
Index_1,4,REM,50064.0,0.4518117434081028,0.21407408808391157,0.44169703125953674,0.28023602068424225,0.6139476299285889,0.3337116092443466,0.05000000074505806,0.9968918561935425,0.18598718307935705,-0.7943749466580039,0,0.0
Index_1,6,Unknown/Uncertain,313.0,0.12675581295221758,0.1049433346244354,0.09266220033168793,0.06920880079269409,0.14647215604782104,0.07726335525512695,0.05000000074505806,0.6058987379074097,3.066893004082132,10.3464453717229,0,6.7092651757188495
Index_2,0,Awake,85553.0,0.5465941826065377,0.21925319433767865,0.5529926419258118,0.3871021270751953,0.7140679359436035,0.3269658088684082,0.021904991939663887,1.0,-0.12004247837786272,-0.7373099420929283,0,0.0
Index_2,1,N1,36976.0,0.3364831458185592,0.14806361118487502,0.31692518293857574,0.22514235973358154,0.42737626284360886,0.2022339031100273,0.05103246495127678,1.0,0.7332161315181767,0.7079341562536228,0,1.106122890523583
Index_2,2,N2,131253.0,0.41529117127546805,0.157030666598847,0.40702974796295166,0.2931917905807495,0.531247079372406,0.2380552887916565,0.05000000074505806,1.0,0.2231319449067658,-0.565178062072174,0,0.09980724250112379
Index_2,3,N3,28989.0,0.6083058055085844,0.15397588766582593,0.6252162456512451,0.48778674006462097,0.7241573333740234,0.23637059330940247,0.1400667428970337,0.9814860224723816,-0.20156677736253076,-0.7619162583450945,0,0.0
Index_2,4,REM,50064.0,0.2774604819398778,0.13201462066471345,0.2562171071767807,0.1822299249470234,0.34671250730752945,0.16448258236050606,0.05066835507750511,1.0,1.0759404105704573,1.7930254036165074,0,2.7424896132949828
