epoch,consensus_stage,consensus_stage_name,n_subjects_contributing
0,0,Awake,100
1,0,Awake,100
2,0,Awake,100
3,0,Awake,100
4,0,Awake,100
5,0,Awake,100
6,0,Awake,100
7,0,Awake,100
8,0,Awake,100
9,0,Awake,100
10,0,Awake,100
11,0,Awake,100
12,0,Awake,100
13,0,Awake,100
14,0,Awake,100
15,0,Awake,100
16,0,Awake,100
17,0,Awake,100
18,0,Awake,100
19,0,Awake,100
20,0,Awake,100
21,0,Awake,100
22,0,Awake,100
23,0,Awake,100
24,0,Awake,100
25,0,Awake,100
26,0,Awake,100
27,0,Awake,100
28,0,Awake,100
29,0,Awake,100
30,0,Awake,100
31,0,Awake,100
32,0,Awake,100
33,0,Awake,100
34,0,Awake,100
35,0,Awake,100
36,0,Awake,100
37,0,Awake,100
38,0,Awake,100
39,0,Awake,100
40,0,Awake,100
41,0,Awake,100
42,0,Awake,100
43,0,Awake,100
44,0,Awake,100
45,0,Awake,100
46,0,Awake,100
47,0,Awake,100
48,0,Awake,100
49,0,Awake,100
50,0,Awake,100
51,0,Awake,100
52,0,Awake,100
53,0,Awake,100
54,0,Awake,100
55,0,Awake,100
56,0,Awake,100
57,0,Awake,100
58,0,Awake,100
59,0,Awake,100
60,0,Awake,100
61,0,Awake,100
62,0,Awake,100
63,0,Awake,100
64,0,Awake,100
65,0,Awake,100
66,0,Awake,100
67,0,Awake,100
68,0,Awake,100
69,0,Awake,100
70,0,Awake,100
71,0,Awake,100
72,0,Awake,100
73,0,Awake,100
74,0,Awake,100
75,0,Awake,100
76,0,Awake,100
77,0,Awake,100
78,0,Awake,100
79,0,Awake,100
80,0,Awake,100
81,0,Awake,100
82,0,Awake,100
83,0,Awake,100
84,0,Awake,100
85,0,Awake,100
86,0,Awake,100
87,0,Awake,100
88,0,Awake,100
89,0,Awake,100
90,0,Awake,100
91,0,Awake,100
92,0,Awake,100
93,0,Awake,100
94,0,Awake,100
95,0,Awake,100
96,0,Awake,100
97,0,Awake,100
98,0,Awake,100
99,0,Awake,100
100,0,Awake,100
101,0,Awake,100
102,0,Awake,100
103,0,Awake,100
104,0,Awake,100
105,0,Awake,100
106,0,Awake,100
107,0,Awake,100
108,0,Awake,100
109,0,Awake,100
110,0,Awake,100
111,0,Awake,100
112,0,Awake,100
113,0,Awake,100
114,0,Awake,100
115,0,Awake,100
116,0,Awake,100
117,0,Awake,100
118,0,Awake,100
119,0,Awake,100
120,0,Awake,100
121,0,Awake,100
122,0,Awake,100
123,0,Awake,100
124,0,Awake,100
125,0,Awake,100
126,0,Awake,100
127,0,Awake,100
128,0,Awake,100
129,0,Awake,100
130,0,Awake,100
131,0,Awake,100
132,0,Awake,100
133,0,Awake,100
134,0,Awake,100
135,0,Awake,100
136,0,Awake,100
137,0,Awake,100
138,0,Awake,100
139,0,Awake,100
140,0,Awake,100
141,0,Awake,100
142,0,Awake,100
143,0,Awake,100
144,0,Awake,100
145,0,Awake,100
146,0,Awake,100
147,0,Awake,100
148,0,Awake,100
149,0,Awake,100
150,0,Awake,100
151,0,Awake,100
152,2,N2,100
153,2,N2,100
154,0,Awake,100
155,0,Awake,100
156,0,Awake,100
157,0,Awake,100
158,0,Awake,100
159,2,N2,100
160,2,N2,100
161,0,Awake,100
162,0,Awake,100
163,0,Awake,100
164,0,Awake,100
165,0,Awake,100
166,0,Awake,100
167,2,N2,100
168,2,N2,100
169,2,N2,100
170,2,N2,100
171,2,N2,100
172,2,N2,100
173,2,N2,100
174,2,N2,100
175,2,N2,100
176,2,N2,100
177,2,N2,100
178,2,N2,100
