feature,variance,entropy,kurtosis,skewness,n_modes,kl_divergence_from_gaussian
Index_W,0.07353549290404995,3.8592878585459767,-1.1667532826083231,0.057774898867780006,3,2.81518807189879
Index_R,0.053402906611733074,3.786823209294587,-0.6502587780431583,0.4709310196004021,1,2.5674982372017476
Index_N,0.054148176553189244,3.7223231711432745,-0.6692801813715001,0.4022039134944417,2,2.6464996704009636
Index_1,0.05988198814334877,3.8449322479630212,-0.9627270919981319,-0.07539641172085243,4,2.6362233683915353
Index_2,0.039976980938939095,3.690320625970619,-0.5269597139034032,0.4026701969712153,1,2.377861656659523
Index_3,0.03830661190318855,3.699152364402747,-0.5818846050966457,0.06305407985954266,1,2.3233232262371404
Index_4,0.03967422262825483,3.6886510290954004,-0.44426957725107963,0.4185944638308492,1,2.3717800333150825
Delta,0.03501220366352063,3.0775004032496884,2.0004068263213455,1.596770997801764,1,2.8560664845935735
Theta,0.040721475554976065,3.592549056851899,-0.4161173931625002,0.6078826539830342,1,2.4914347789398015
Aperiodic,0.07124448495975765,3.824574508621556,-0.8419697427011714,-0.2709600043303474,3,2.8737611418375155
DFA,0.07303313069374787,3.6627385559443786,-0.4497179605004611,0.6928029322399547,3,3.0588544519284557
MSE,0.07853447226623714,3.820692866267994,-1.0162825468969567,0.19806243534568474,3,2.974745539671687
EOG,0.048173739584607786,2.8498009173884777,3.0873100264431512,1.8966968390101744,2,3.4530248369276757
Index_R_noEOG,0.05919958460936447,3.84165570022146,-1.0196105490235625,0.14506293117629668,2,2.615828918010849
Index_N_noEOG,0.05489579625535999,3.824279283374453,-0.9695872721242109,-0.04768800946237273,3,2.5580138526670253
