original_state_id,original_count,original_purity,dominant_label_id,dominant_label_name,merged_state_id,merge_reason,hamming_distance_to_target
0,1702,0.3795534665099882,2,N2,0,stable,0
1,816,0.33578431372549017,2,N2,1,stable,0
2,4781,0.3668688558878896,2,N2,2,stable,0
3,50,0.4,2,N2,3,stable,0
4,771,0.3424124513618677,2,N2,4,stable,0
5,4725,0.37735449735449733,2,N2,5,stable,0
6,2257,0.3504652193176783,2,N2,6,stable,0
7,1,1.0,2,N2,7,stable,0
8,1333,0.35783945986496624,2,N2,8,stable,0
9,30,0.3333333333333333,2,N2,9,stable,0
10,308,0.33766233766233766,2,N2,10,stable,0
11,851,0.3490011750881316,2,N2,11,stable,0
12,672,0.3586309523809524,2,N2,12,stable,0
13,2040,0.3426470588235294,2,N2,13,stable,0
14,178,0.4438202247191011,2,N2,14,stable,0
15,71,0.39436619718309857,2,N2,15,stable,0
16,2066,0.35091965150048404,2,N2,16,stable,0
17,755,0.376158940397351,2,N2,17,stable,0
18,457,0.36980306345733044,2,N2,18,stable,0
19,1286,0.34603421461897355,2,N2,19,stable,0
20,1262,0.3803486529318542,2,N2,20,stable,0
21,5396,0.36397331356560414,2,N2,21,stable,0
22,190,0.3736842105263158,2,N2,22,stable,0
23,180,0.3,2,N2,23,stable,0
24,3817,0.356300759758973,2,N2,24,stable,0
25,53,0.4339622641509434,2,N2,25,stable,0
26,38,0.47368421052631576,2,N2,26,stable,0
27,4068,0.36160275319567353,2,N2,27,stable,0
28,783,0.3499361430395913,2,N2,28,stable,0
29,1347,0.36674090571640683,2,N2,29,stable,0
30,4,0.5,1,N1,30,stable,0
31,7,0.2857142857142857,4,REM,31,stable,0
32,2146,0.35834109972041006,2,N2,32,stable,0
33,4126,0.37009209888511874,2,N2,33,stable,0
34,6301,0.3472464688144739,2,N2,34,stable,0
35,202,0.38613861386138615,2,N2,35,stable,0
36,551,0.3702359346642468,2,N2,36,stable,0
37,2866,0.3611304954640614,2,N2,37,stable,0
38,836,0.3827751196172249,2,N2,38,stable,0
39,17,0.47058823529411764,2,N2,39,stable,0
40,1034,0.3646034816247582,2,N2,40,stable,0
41,55,0.38181818181818183,2,N2,41,stable,0
42,251,0.3466135458167331,2,N2,42,stable,0
43,107,0.38317757009345793,2,N2,43,stable,0
44,107,0.4205607476635514,2,N2,44,stable,0
45,162,0.3888888888888889,2,N2,45,stable,0
46,21,0.5238095238095238,2,N2,46,stable,0
47,225,0.39555555555555555,2,N2,47,stable,0
48,1851,0.37763371150729336,2,N2,48,stable,0
49,2051,0.3700633837152609,2,N2,49,stable,0
50,234,0.36324786324786323,2,N2,50,stable,0
51,500,0.4,2,N2,51,stable,0
52,339,0.3775811209439528,2,N2,52,stable,0
53,1741,0.3607122343480758,2,N2,53,stable,0
54,21,0.42857142857142855,2,N2,54,stable,0
55,142,0.4084507042253521,2,N2,55,stable,0
56,3525,0.36936170212765956,2,N2,56,stable,0
57,42,0.35714285714285715,2,N2,57,stable,0
58,39,0.46153846153846156,2,N2,58,stable,0
59,325,0.37846153846153846,2,N2,59,stable,0
60,84,0.34523809523809523,2,N2,60,stable,0
61,106,0.330188679245283,2,N2,61,stable,0
