state_id,label_id,label_name,count,row_total,row_fraction,dominant_label_id,dominant_label_name
0,0,Awake,2118,3744,0.5657051282051282,0,Awake
0,1,N1,185,3744,0.04941239316239316,0,Awake
0,2,N2,184,3744,0.049145299145299144,0,Awake
0,3,N3,61,3744,0.016292735042735044,0,Awake
0,4,REM,1196,3744,0.3194444444444444,0,Awake
0,6,unknown_stage,0,3744,0.0,0,Awake
1,0,Awake,607,802,0.756857855361596,0,Awake
1,1,N1,27,802,0.03366583541147132,0,Awake
1,2,N2,41,802,0.05112219451371571,0,Awake
1,3,N3,57,802,0.07107231920199501,0,Awake
1,4,REM,70,802,0.08728179551122195,0,Awake
1,6,unknown_stage,0,802,0.0,0,Awake
2,0,Awake,2284,17903,0.12757638384628275,2,N2
2,1,N1,2718,17903,0.1518181310394906,2,N2
2,2,N2,10477,17903,0.5852091828185221,2,N2
2,3,N3,433,17903,0.02418589063285483,2,N2
2,4,REM,1989,17903,0.11109869854214377,2,N2
2,6,unknown_stage,2,17903,0.00011171312070602693,2,N2
3,0,Awake,654,6888,0.09494773519163763,2,N2
3,1,N1,786,6888,0.11411149825783973,2,N2
3,2,N2,3686,6888,0.5351335656213705,2,N2
3,3,N3,876,6888,0.12717770034843207,2,N2
3,4,REM,885,6888,0.1284843205574913,2,N2
3,6,unknown_stage,1,6888,0.00014518002322880372,2,N2
4,0,Awake,776,8664,0.08956602031394276,4,REM
4,1,N1,1408,8664,0.16251154201292706,4,REM
4,2,N2,2910,8664,0.33587257617728533,4,REM
4,3,N3,3,8664,0.00034626038781163435,4,REM
4,4,REM,3547,8664,0.40939519852262235,4,REM
4,6,unknown_stage,20,8664,0.0023084025854108957,4,REM
5,0,Awake,178,9229,0.019287030014086035,2,N2
5,1,N1,264,9229,0.028605482717520857,2,N2
5,2,N2,5789,9229,0.627261891862607,2,N2
5,3,N3,2203,9229,0.23870408494961534,2,N2
5,4,REM,768,9229,0.08321594972369704,2,N2
5,6,unknown_stage,27,9229,0.0029255607324737243,2,N2
6,0,Awake,73,1948,0.03747433264887064,3,N3
6,1,N1,59,1948,0.030287474332648872,3,N3
6,2,N2,665,1948,0.3413757700205339,3,N3
6,3,N3,1065,1948,0.5467145790554415,3,N3
6,4,REM,82,1948,0.04209445585215606,3,N3
6,6,unknown_stage,4,1948,0.002053388090349076,3,N3
7,0,Awake,559,1874,0.29829242262540023,3,N3
7,1,N1,47,1874,0.025080042689434364,3,N3
7,2,N2,186,1874,0.09925293489861259,3,N3
7,3,N3,1053,1874,0.5618996798292423,3,N3
7,4,REM,23,1874,0.012273212379935965,3,N3
7,6,unknown_stage,6,1874,0.0032017075773745998,3,N3
8,0,Awake,5,320,0.015625,2,N2
8,1,N1,11,320,0.034375,2,N2
8,2,N2,233,320,0.728125,2,N2
8,3,N3,59,320,0.184375,2,N2
