state_id,count,dominant_label_id,dominant_label_name,dominant_count,purity,entropy_bits
0,3744,0,Awake,2118,0.5657051282051282,1.5156592844378238
1,802,0,Awake,607,0.756857855361596,1.2663903099408589
2,17903,2,N2,10477,0.5852091828185221,1.7277385575394333
3,6888,2,N2,3686,0.5351335656213705,1.923127365902239
4,8664,4,REM,3547,0.40939519852262235,1.8181226730130045
5,9229,2,N2,5789,0.627261891862607,1.4950501008877366
6,1948,3,N3,1065,0.5467145790554415,1.5466606281962638
7,1874,3,N3,1053,0.5618996798292423,1.5564549754050643
8,320,2,N2,233,0.728125,1.2215710639273463
9,1900,2,N2,1439,0.7573684210526316,1.1159436772863607
10,1241,0,Awake,874,0.7042707493956487,1.336379921555557
11,1240,0,Awake,958,0.7725806451612903,1.1184855924892363
12,2563,0,Awake,2408,0.9395239953179867,0.40966785852421184
13,487,0,Awake,485,0.9958932238193019,0.04257702885187921
14,3682,0,Awake,2064,0.5605649103747963,1.5978487579420229
15,2779,0,Awake,1703,0.6128103634400863,1.5598133960867562
16,532,0,Awake,423,0.7951127819548872,0.984376504926308
17,746,0,Awake,685,0.9182305630026809,0.5252640048648308
18,281,0,Awake,277,0.9857651245551602,0.11926095545578433
