state_id,label_id,label_name,count,row_total,row_fraction,dominant_label_id,dominant_label_name
0,0,Awake,1329,7386,0.17993501218521527,2,N2
0,1,N1,1121,7386,0.15177362577849987,2,N2
0,2,N2,3886,7386,0.5261305171946926,2,N2
0,3,N3,246,7386,0.03330625507717303,2,N2
0,4,REM,803,7386,0.10871919848361765,2,N2
0,6,unknown_stage,1,7386,0.00013539128080151638,2,N2
1,0,Awake,9,27,0.3333333333333333,2,N2
1,1,N1,4,27,0.14814814814814814,2,N2
1,2,N2,11,27,0.4074074074074074,2,N2
1,3,N3,0,27,0.0,2,N2
1,4,REM,3,27,0.1111111111111111,2,N2
1,6,unknown_stage,0,27,0.0,2,N2
2,0,Awake,615,1388,0.4430835734870317,0,Awake
2,1,N1,133,1388,0.09582132564841499,0,Awake
2,2,N2,134,1388,0.09654178674351585,0,Awake
2,3,N3,11,1388,0.00792507204610951,0,Awake
2,4,REM,495,1388,0.35662824207492794,0,Awake
2,6,unknown_stage,0,1388,0.0,0,Awake
3,0,Awake,41,219,0.1872146118721461,2,N2
3,1,N1,12,219,0.0547945205479452,2,N2
3,2,N2,98,219,0.4474885844748858,2,N2
3,3,N3,55,219,0.2511415525114155,2,N2
3,4,REM,13,219,0.0593607305936073,2,N2
3,6,unknown_stage,0,219,0.0,2,N2
4,0,Awake,0,2,0.0,2,N2
4,1,N1,0,2,0.0,2,N2
4,2,N2,2,2,1.0,2,N2
4,3,N3,0,2,0.0,2,N2
4,4,REM,0,2,0.0,2,N2
4,6,unknown_stage,0,2,0.0,2,N2
5,0,Awake,15,86,0.1744186046511628,2,N2
5,1,N1,13,86,0.1511627906976744,2,N2
5,2,N2,22,86,0.2558139534883721,2,N2
5,3,N3,16,86,0.18604651162790697,2,N2
5,4,REM,20,86,0.23255813953488372,2,N2
5,6,unknown_stage,0,86,0.0,2,N2
6,0,Awake,1268,1748,0.7254004576659039,0,Awake
6,1,N1,40,1748,0.02288329519450801,0,Awake
6,2,N2,24,1748,0.013729977116704805,0,Awake
6,3,N3,4,1748,0.002288329519450801,0,Awake
6,4,REM,412,1748,0.23569794050343248,0,Awake
6,6,unknown_stage,0,1748,0.0,0,Awake
7,0,Awake,1,1,1.0,0,Awake
7,1,N1,0,1,0.0,0,Awake
7,2,N2,0,1,0.0,0,Awake
7,3,N3,0,1,0.0,0,Awake
7,4,REM,0,1,0.0,0,Awake
7,6,unknown_stage,0,1,0.0,0,Awake
8,0,Awake,11,13,0.8461538461538461,0,Awake
8,1,N1,0,13,0.0,0,Awake
8,2,N2,0,13,0.0,0,Awake
8,3,N3,1,13,0.07692307692307693,0,Awake
8,4,REM,1,13,0.07692307692307693,0,Awake
8,6,unknown_stage,0,13,0.0,0,Awake
9,0,Awake,22,28,0.7857142857142857,0,Awake
9,1,N1,2,28,0.07142857142857142,0,Awake
9,2,N2,4,28,0.14285714285714285,0,Awake
9,3,N3,0,28,0.0,0,Awake
9,4,REM,0,28,0.0,0,Awake
9,6,unknown_stage,0,28,0.0,0,Awake
10,0,Awake,217,259,0.8378378378378378,0,Awake
10,1,N1,11,259,0.04247104247104247,0,Awake
10,2,N2,4,259,0.015444015444015444,0,Awake
10,3,N3,7,259,0.02702702702702703,0,Awake
10,4,REM,20,259,0.07722007722007722,0,Awake
10,6,unknown_stage,0,259,0.0,0,Awake
11,0,Awake,75,76,0.9868421052631579,0,Awake
11,1,N1,0,76,0.0,0,Awake
11,2,N2,0,76,0.0,0,Awake
11,3,N3,1,76,0.013157894736842105,0,Awake
11,4,REM,0,76,0.0,0,Awake
11,6,unknown_stage,0,76,0.0,0,Awake
12,0,Awake,539,9106,0.05919174170876345,2,N2
12,1,N1,1195,9106,0.13123215462332527,2,N2
12,2,N2,6222,9106,0.6832857456622008,2,N2
12,3,N3,187,9106,0.02053591038875467,2,N2
12,4,REM,962,9106,0.10564462991434219,2,N2
12,6,unknown_stage,1,9106,0.00010981770261366133,2,N2
13,0,Awake,1,1,1.0,0,Awake
13,1,N1,0,1,0.0,0,Awake
13,2,N2,0,1,0.0,0,Awake
13,3,N3,0,1,0.0,0,Awake
13,4,REM,0,1,0.0,0,Awake
13,6,unknown_stage,0,1,0.0,0,Awake
14,0,Awake,98,2985,0.03283082077051926,2,N2
14,1,N1,217,2985,0.07269681742043552,2,N2
14,2,N2,1915,2985,0.6415410385259631,2,N2
14,3,N3,383,2985,0.12830820770519263,2,N2
14,4,REM,371,2985,0.12428810720268006,2,N2
14,6,unknown_stage,1,2985,0.00033500837520938025,2,N2
15,0,Awake,2,22,0.09090909090909091,4,REM
15,1,N1,4,22,0.18181818181818182,4,REM
15,2,N2,3,22,0.13636363636363635,4,REM
