state_id,count,dominant_label_id,dominant_label_name,dominant_count,purity,entropy_bits
0,7386,2,N2,3886,0.5261305171946926,1.858783847860723
1,27,2,N2,11,0.4074074074074074,1.8164445273371588
2,1388,0,Awake,615,0.4430835734870317,1.7559529503404845
3,219,2,N2,98,0.4474885844748858,1.9437311349319681
4,2,2,N2,2,1.0,-1.4428232973175175e-12
5,86,2,N2,22,0.2558139534883721,2.295391117744538
6,1748,0,Awake,1268,0.7254004576659039,1.0571139939618879
7,1,0,Awake,1,1.0,-1.4428232973175175e-12
8,13,0,Awake,11,0.8461538461538461,0.7732283485205895
9,28,0,Awake,22,0.7857142857142857,0.9463729359811139
10,259,0,Awake,217,0.8378378378378378,0.9264592081518781
11,76,0,Awake,75,0.9868421052631579,0.10106696360923881
12,9106,2,N2,6222,0.6832857456622008,1.4604573600878894
13,1,0,Awake,1,1.0,-1.4428232973175175e-12
14,2985,2,N2,1915,0.6415410385259631,1.6054326078142278
15,22,4,REM,12,0.5454545454545454,1.8333208226838411
16,15,3,N3,5,0.3333333333333333,2.149255397161286
17,12,3,N3,6,0.5,1.6258145836881406
18,3,4,REM,3,1.0,-1.4428232973175175e-12
19,7624,2,N2,2851,0.37395068205666315,1.826491740362364
20,370,4,REM,182,0.4918918918918919,1.7592073164157458
21,991,4,REM,748,0.7547931382441978,1.1686307106287868
22,22,0,Awake,11,0.5,1.6742939480004404
23,214,4,REM,134,0.6261682242990654,1.1662774928197313
24,3,0,Awake,3,1.0,-1.4428232973175175e-12
25,321,2,N2,124,0.3862928348909657,1.7852525855020789
26,8414,2,N2,5557,0.6604468742571904,1.3798036006373968
27,87,2,N2,64,0.735632183908046,1.3541037722400657
28,716,4,REM,233,0.3254189944134078,2.0173156679460966
29,4,4,REM,2,0.5,1.499999999995672
30,1510,3,N3,831,0.5503311258278145,1.4118109868805377
31,104,2,N2,47,0.4519230769230769,1.7176756572604763
32,184,3,N3,117,0.6358695652173914,1.5743239922458938
33,17,0,Awake,5,0.29411764705882354,2.1836670779136975
34,2,3,N3,2,1.0,-1.4428232973175175e-12
35,1,6,unknown_stage,1,1.0,-1.4428232973175175e-12
36,393,0,Awake,162,0.4122137404580153,1.7658503142782145
37,106,3,N3,73,0.6886792452830188,1.3716608258656509
38,1534,3,N3,1021,0.665580182529335,1.422623332527931
39,175,0,Awake,142,0.8114285714285714,0.7989508842373468
40,233,0,Awake,224,0.9613733905579399,0.28816884629012496
41,320,2,N2,233,0.728125,1.2215710639273463
42,661,2,N2,332,0.5022692889561271,1.3991643896494268
43,3,2,N2,3,1.0,-1.4428232973175175e-12
44,12,3,N3,6,0.5,1.325011210819849
45,48,3,N3,28,0.5833333333333334,1.5294667876184667
46,1880,2,N2,1429,0.7601063829787233,1.1049596923709657
47,20,2,N2,10,0.5,1.578389824717749
48,26,4,REM,21,0.8076923076923077,0.8929953573476319
49,1,2,N2,1,1.0,-1.4428232973175175e-12
50,1068,0,Awake,734,0.6872659176029963,1.3738639575943623
51,156,0,Awake,130,0.8333333333333334,0.9071928373435473
52,1071,0,Awake,828,0.773109243697479,1.0857121096235205
53,129,0,Awake,113,0.875968992248062,0.7771962650498148
54,11,0,Awake,4,0.36363636363636365,2.0048861640846294
55,4,0,Awake,4,1.0,-1.4428232973175175e-12
56,19,0,Awake,7,0.3684210526315789,2.0762893592868963
57,5,0,Awake,3,0.6,0.9709505944517833
58,2,0,Awake,2,1.0,-1.4428232973175175e-12
59,2414,0,Awake,2273,0.9415907207953604,0.3984943964205201
60,325,0,Awake,325,1.0,-1.4428232973175175e-12
61,11,0,Awake,8,0.7272727272727273,1.0957952549966055
62,132,0,Awake,111,0.8409090909090909,0.8409759706563276
63,162,0,Awake,160,0.9876543209876543,0.10831608200388948
64,1049,0,Awake,363,0.34604385128693993,1.9515131644533716
65,13,0,Awake,11,0.8461538461538461,0.7732283485205895
66,14,0,Awake,6,0.42857142857142855,2.074164743015362
67,1,0,Awake,1,1.0,-1.4428232973175175e-12
68,2840,2,N2,1291,0.4545774647887324,2.012082221255407
69,7,0,Awake,3,0.42857142857142855,1.842370993171338
70,76,0,Awake,21,0.27631578947368424,2.064188038989481
71,16,0,Awake,8,0.5,1.8749999999927867
72,16,3,N3,7,0.4375,1.5461796919431696
73,58,0,Awake,36,0.6206896551724138,1.580541883000353
74,2713,0,Awake,1670,0.6155547364541099,1.447580447886271
75,2290,0,Awake,1574,0.6873362445414847,1.3635104467442203
76,532,0,Awake,423,0.7951127819548872,0.984376504926308
77,746,0,Awake,685,0.9182305630026809,0.5252640048648308
78,1,0,Awake,1,1.0,-1.4428232973175175e-12
79,149,0,Awake,135,0.9060402684563759,0.5713070099826167
80,278,0,Awake,274,0.9856115107913669,0.12032352511720894
81,969,0,Awake,394,0.4066047471620227,1.8812466118128837
82,118,0,Awake,81,0.6864406779661016,1.265196452880759
83,6,0,Awake,6,1.0,-1.4428232973175175e-12
84,1,1,N1,1,1.0,-1.4428232973175175e-12
85,6,0,Awake,3,0.5,1.4591479170229167
86,21,0,Awake,18,0.8571428571428571,0.7228578977286406
87,2,0,Awake,2,1.0,-1.4428232973175175e-12
88,17,0,Awake,16,0.9411764705882353,0.3227569588945129
89,1,3,N3,1,1.0,-1.4428232973175175e-12
90,1,2,N2,1,1.0,-1.4428232973175175e-12
