original_state_id,original_count,original_purity,dominant_label_id,dominant_label_name,merged_state_id,merge_reason,hamming_distance_to_target
0,7386,0.5261305171946926,2,N2,2,merged_to_nearest_stable,1
1,27,0.4074074074074074,2,N2,2,merged_to_nearest_stable,2
2,1388,0.4430835734870317,0,Awake,0,merged_to_nearest_stable,1
3,219,0.4474885844748858,2,N2,3,merged_to_nearest_stable,1
4,2,1.0,2,N2,3,merged_to_nearest_stable,2
5,86,0.2558139534883721,2,N2,1,merged_to_nearest_stable,1
6,1748,0.7254004576659039,0,Awake,0,stable,0
7,1,1.0,0,Awake,0,merged_to_nearest_stable,1
8,13,0.8461538461538461,0,Awake,1,merged_to_nearest_stable,1
9,28,0.7857142857142857,0,Awake,7,merged_to_nearest_stable,1
10,259,0.8378378378378378,0,Awake,1,stable,0
11,76,0.9868421052631579,0,Awake,1,merged_to_nearest_stable,1
12,9106,0.6832857456622008,2,N2,2,stable,0
13,1,1.0,0,Awake,2,merged_to_nearest_stable,1
14,2985,0.6415410385259631,2,N2,3,stable,0
15,22,0.5454545454545454,4,REM,3,merged_to_nearest_stable,1
16,15,0.3333333333333333,3,N3,3,merged_to_nearest_stable,1
17,12,0.5,3,N3,3,merged_to_nearest_stable,2
18,3,1.0,4,REM,1,merged_to_nearest_stable,1
19,7624,0.37395068205666315,2,N2,4,merged_to_nearest_stable,1
20,370,0.4918918918918919,4,REM,15,merged_to_nearest_stable,1
21,991,0.7547931382441978,4,REM,4,stable,0
22,22,0.5,0,Awake,4,merged_to_nearest_stable,1
23,214,0.6261682242990654,4,REM,0,merged_to_nearest_stable,1
24,3,1.0,0,Awake,18,merged_to_nearest_stable,1
25,321,0.3862928348909657,2,N2,2,merged_to_nearest_stable,1
26,8414,0.6604468742571904,2,N2,5,stable,0
27,87,0.735632183908046,2,N2,5,merged_to_nearest_stable,1
28,716,0.3254189944134078,4,REM,5,merged_to_nearest_stable,1
29,4,0.5,4,REM,5,merged_to_nearest_stable,2
30,1510,0.5503311258278145,3,N3,6,stable,0
31,104,0.4519230769230769,2,N2,6,merged_to_nearest_stable,1
32,184,0.6358695652173914,3,N3,6,merged_to_nearest_stable,1
33,17,0.29411764705882354,0,Awake,6,merged_to_nearest_stable,2
34,2,1.0,3,N3,5,merged_to_nearest_stable,1
35,1,1.0,6,unknown_stage,7,merged_to_nearest_stable,1
36,393,0.4122137404580153,0,Awake,0,merged_to_nearest_stable,1
37,106,0.6886792452830188,3,N3,6,merged_to_nearest_stable,1
38,1534,0.665580182529335,3,N3,7,stable,0
39,175,0.8114285714285714,0,Awake,1,merged_to_nearest_stable,1
40,233,0.9613733905579399,0,Awake,7,merged_to_nearest_stable,1
41,320,0.728125,2,N2,8,stable,0
42,661,0.5022692889561271,2,N2,3,merged_to_nearest_stable,1
43,3,1.0,2,N2,3,merged_to_nearest_stable,2
44,12,0.5,3,N3,3,merged_to_nearest_stable,2
45,48,0.5833333333333334,3,N3,7,merged_to_nearest_stable,1
46,1880,0.7601063829787233,2,N2,9,stable,0
47,20,0.5,2,N2,9,merged_to_nearest_stable,1
48,26,0.8076923076923077,4,REM,4,merged_to_nearest_stable,1
49,1,1.0,2,N2,4,merged_to_nearest_stable,2
50,1068,0.6872659176029963,0,Awake,10,stable,0
51,156,0.8333333333333334,0,Awake,10,merged_to_nearest_stable,1
52,1071,0.773109243697479,0,Awake,11,stable,0
53,129,0.875968992248062,0,Awake,11,merged_to_nearest_stable,1
54,11,0.36363636363636365,0,Awake,10,merged_to_nearest_stable,1
55,4,1.0,0,Awake,10,merged_to_nearest_stable,2
56,19,0.3684210526315789,0,Awake,11,merged_to_nearest_stable,1
57,5,0.6,0,Awake,11,merged_to_nearest_stable,2
58,2,1.0,0,Awake,10,merged_to_nearest_stable,1
59,2414,0.9415907207953604,0,Awake,12,stable,0
60,325,1.0,0,Awake,13,stable,0
61,11,0.7272727272727273,0,Awake,7,merged_to_nearest_stable,2
62,132,0.8409090909090909,0,Awake,1,merged_to_nearest_stable,1
63,162,0.9876543209876543,0,Awake,13,merged_to_nearest_stable,1
64,1049,0.34604385128693993,0,Awake,2,merged_to_nearest_stable,1
65,13,0.8461538461538461,0,Awake,2,merged_to_nearest_stable,2
66,14,0.42857142857142855,0,Awake,11,merged_to_nearest_stable,1
67,1,1.0,0,Awake,11,merged_to_nearest_stable,2
68,2840,0.4545774647887324,2,N2,3,merged_to_nearest_stable,1
69,7,0.42857142857142855,0,Awake,3,merged_to_nearest_stable,2
70,76,0.27631578947368424,0,Awake,3,merged_to_nearest_stable,2
71,16,0.5,0,Awake,3,merged_to_nearest_stable,2
72,16,0.4375,3,N3,3,merged_to_nearest_stable,3
73,58,0.6206896551724138,0,Awake,1,merged_to_nearest_stable,2
74,2713,0.6155547364541099,0,Awake,14,stable,0
75,2290,0.6873362445414847,0,Awake,15,stable,0
76,532,0.7951127819548872,0,Awake,16,stable,0
77,746,0.9182305630026809,0,Awake,17,stable,0
78,1,1.0,0,Awake,15,merged_to_nearest_stable,1
79,149,0.9060402684563759,0,Awake,12,merged_to_nearest_stable,1
80,278,0.9856115107913669,0,Awake,18,stable,0
81,969,0.4066047471620227,0,Awake,14,merged_to_nearest_stable,1
82,118,0.6864406779661016,0,Awake,15,merged_to_nearest_stable,1
83,6,1.0,0,Awake,5,merged_to_nearest_stable,2
84,1,1.0,1,N1,11,merged_to_nearest_stable,2
85,6,0.5,0,Awake,6,merged_to_nearest_stable,2
86,21,0.8571428571428571,0,Awake,6,merged_to_nearest_stable,3
87,2,1.0,0,Awake,7,merged_to_nearest_stable,1
88,17,0.9411764705882353,0,Awake,7,merged_to_nearest_stable,2
89,1,1.0,3,N3,3,merged_to_nearest_stable,2
90,1,1.0,2,N2,3,merged_to_nearest_stable,3
